Category,Link
romance,https://www.goodreads.com/list/tag/romance
fiction,https://www.goodreads.com/list/tag/fiction
young-adult,https://www.goodreads.com/list/tag/young-adult
fantasy,https://www.goodreads.com/list/tag/fantasy
children,https://www.goodreads.com/list/tag/children
science-fiction,https://www.goodreads.com/list/tag/science-fiction
covers,https://www.goodreads.com/list/tag/covers
best,https://www.goodreads.com/list/tag/best
non-fiction,https://www.goodreads.com/list/tag/non-fiction
history,https://www.goodreads.com/list/tag/history
mystery,https://www.goodreads.com/list/tag/mystery
historical-fiction,https://www.goodreads.com/list/tag/historical-fiction
horror,https://www.goodreads.com/list/tag/horror
paranormal,https://www.goodreads.com/list/tag/paranormal
love,https://www.goodreads.com/list/tag/love
nonfiction,https://www.goodreads.com/list/tag/nonfiction
sci-fi,https://www.goodreads.com/list/tag/sci-fi
historical-romance,https://www.goodreads.com/list/tag/historical-romance
gay,https://www.goodreads.com/list/tag/gay
series,https://www.goodreads.com/list/tag/series
thriller,https://www.goodreads.com/list/tag/thriller
ya,https://www.goodreads.com/list/tag/ya
biography,https://www.goodreads.com/list/tag/biography
middle-grade,https://www.goodreads.com/list/tag/middle-grade
graphic-novels,https://www.goodreads.com/list/tag/graphic-novels
contemporary,https://www.goodreads.com/list/tag/contemporary
women,https://www.goodreads.com/list/tag/women
classics,https://www.goodreads.com/list/tag/classics
teen,https://www.goodreads.com/list/tag/teen
